[2023-07-09T08:51:37.705+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [queued]>
[2023-07-09T08:51:37.719+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [queued]>
[2023-07-09T08:51:37.720+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 1
[2023-07-09T08:51:37.737+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): apply_pca> on 2023-07-09 08:51:25.990801+00:00
[2023-07-09T08:51:37.744+0000] {standard_task_runner.py:57} INFO - Started process 3155 to run task
[2023-07-09T08:51:37.747+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'etl_dag', 'apply_pca', 'manual__2023-07-09T08:51:25.990801+00:00', '--job-id', '130', '--raw', '--subdir', 'DAGS_FOLDER/test.py', '--cfg-path', '/tmp/tmp__7z41rq']
[2023-07-09T08:51:37.748+0000] {standard_task_runner.py:85} INFO - Job 130: Subtask apply_pca
[2023-07-09T08:51:37.798+0000] {task_command.py:410} INFO - Running <TaskInstance: etl_dag.apply_pca manual__2023-07-09T08:51:25.990801+00:00 [running]> on host 5865fe7b5e5b
[2023-07-09T08:51:38.049+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='etl_dag' AIRFLOW_CTX_TASK_ID='apply_pca' AIRFLOW_CTX_EXECUTION_DATE='2023-07-09T08:51:25.990801+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-07-09T08:51:25.990801+00:00'
[2023-07-09T08:51:38.074+0000] {warnings.py:110} WARNING - /opt/***/dags/test.py:73: FutureWarning: Dropping of nuisance columns in DataFrame reductions (with 'numeric_only=None') is deprecated; in a future version this will raise TypeError.  Select only valid columns before calling the reduction.
  df.fillna(df.mean(), inplace=True)
[2023-07-09T08:51:38.429+0000] {logging_mixin.py:149} INFO - Element at index 15, column TopicID: AST
[2023-07-09T08:51:38.429+0000] {logging_mixin.py:149} INFO - Element at index 15, column QuestionID: AST4_1
[2023-07-09T08:51:38.430+0000] {logging_mixin.py:149} INFO - Element at index 15, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.431+0000] {logging_mixin.py:149} INFO - Element at index 15, column StratificationCategoryID1: RACE
[2023-07-09T08:51:38.431+0000] {logging_mixin.py:149} INFO - Element at index 15, column StratificationID1: WHT
[2023-07-09T08:51:38.432+0000] {logging_mixin.py:149} INFO - Element at index 15, column StratificationCategoryID2: 
[2023-07-09T08:51:38.432+0000] {logging_mixin.py:149} INFO - Element at index 15, column StratificationID2: 
[2023-07-09T08:51:38.433+0000] {logging_mixin.py:149} INFO - Element at index 15, column StratificationCategoryID3: 
[2023-07-09T08:51:38.433+0000] {logging_mixin.py:149} INFO - Element at index 15, column StratificationID3: 
[2023-07-09T08:51:38.434+0000] {logging_mixin.py:149} INFO - Element at index 15, column Duration: 0
[2023-07-09T08:51:38.434+0000] {logging_mixin.py:149} INFO - Element at index 15, column Latitude: -98.20078122699965
[2023-07-09T08:51:38.435+0000] {logging_mixin.py:149} INFO - Element at index 15, column Longitude: 38.34774030000045
[2023-07-09T08:51:38.435+0000] {logging_mixin.py:149} INFO - Element at index 15, column PCA1: -4.552090332711679
[2023-07-09T08:51:38.436+0000] {logging_mixin.py:149} INFO - Element at index 15, column PCA2: -1.2003516372674223
[2023-07-09T08:51:38.437+0000] {logging_mixin.py:149} INFO - Element at index 16, column LocationAbbr: KS
[2023-07-09T08:51:38.437+0000] {logging_mixin.py:149} INFO - Element at index 16, column LocationDesc: Kansas
[2023-07-09T08:51:38.438+0000] {logging_mixin.py:149} INFO - Element at index 16, column DataSource: NVSS
[2023-07-09T08:51:38.438+0000] {logging_mixin.py:149} INFO - Element at index 16, column Topic: Asthma
[2023-07-09T08:51:38.439+0000] {logging_mixin.py:149} INFO - Element at index 16, column Question: Asthma mortality rate
[2023-07-09T08:51:38.439+0000] {logging_mixin.py:149} INFO - Element at index 16, column Response: 
[2023-07-09T08:51:38.440+0000] {logging_mixin.py:149} INFO - Element at index 16, column DataValueUnit: 
[2023-07-09T08:51:38.440+0000] {logging_mixin.py:149} INFO - Element at index 16, column DataValueType: Number
[2023-07-09T08:51:38.441+0000] {logging_mixin.py:149} INFO - Element at index 16, column DataValue: 29.0
[2023-07-09T08:51:38.441+0000] {logging_mixin.py:149} INFO - Element at index 16, column DataValueAlt: 29.0
[2023-07-09T08:51:38.442+0000] {logging_mixin.py:149} INFO - Element at index 16, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.443+0000] {logging_mixin.py:149} INFO - Element at index 16, column DatavalueFootnote: 
[2023-07-09T08:51:38.443+0000] {logging_mixin.py:149} INFO - Element at index 16, column LowConfidenceLimit: 
[2023-07-09T08:51:38.444+0000] {logging_mixin.py:149} INFO - Element at index 16, column HighConfidenceLimit: 
[2023-07-09T08:51:38.445+0000] {logging_mixin.py:149} INFO - Element at index 16, column StratificationCategory1: Overall
[2023-07-09T08:51:38.445+0000] {logging_mixin.py:149} INFO - Element at index 16, column Stratification1: Overall
[2023-07-09T08:51:38.447+0000] {logging_mixin.py:149} INFO - Element at index 16, column StratificationCategory2: 
[2023-07-09T08:51:38.447+0000] {logging_mixin.py:149} INFO - Element at index 16, column Stratification2: 
[2023-07-09T08:51:38.448+0000] {logging_mixin.py:149} INFO - Element at index 16, column StratificationCategory3: 
[2023-07-09T08:51:38.449+0000] {logging_mixin.py:149} INFO - Element at index 16, column Stratification3: 
[2023-07-09T08:51:38.450+0000] {logging_mixin.py:149} INFO - Element at index 16, column ResponseID: 
[2023-07-09T08:51:38.450+0000] {logging_mixin.py:149} INFO - Element at index 16, column LocationID: 20
[2023-07-09T08:51:38.451+0000] {logging_mixin.py:149} INFO - Element at index 16, column TopicID: AST
[2023-07-09T08:51:38.452+0000] {logging_mixin.py:149} INFO - Element at index 16, column QuestionID: AST4_1
[2023-07-09T08:51:38.452+0000] {logging_mixin.py:149} INFO - Element at index 16, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.453+0000] {logging_mixin.py:149} INFO - Element at index 16, column StratificationCategoryID1: OVERALL
[2023-07-09T08:51:38.454+0000] {logging_mixin.py:149} INFO - Element at index 16, column StratificationID1: OVR
[2023-07-09T08:51:38.454+0000] {logging_mixin.py:149} INFO - Element at index 16, column StratificationCategoryID2: 
[2023-07-09T08:51:38.455+0000] {logging_mixin.py:149} INFO - Element at index 16, column StratificationID2: 
[2023-07-09T08:51:38.456+0000] {logging_mixin.py:149} INFO - Element at index 16, column StratificationCategoryID3: 
[2023-07-09T08:51:38.457+0000] {logging_mixin.py:149} INFO - Element at index 16, column StratificationID3: 
[2023-07-09T08:51:38.457+0000] {logging_mixin.py:149} INFO - Element at index 16, column Duration: 0
[2023-07-09T08:51:38.458+0000] {logging_mixin.py:149} INFO - Element at index 16, column Latitude: -98.20078122699965
[2023-07-09T08:51:38.459+0000] {logging_mixin.py:149} INFO - Element at index 16, column Longitude: 38.34774030000045
[2023-07-09T08:51:38.459+0000] {logging_mixin.py:149} INFO - Element at index 16, column PCA1: -4.552090332711679
[2023-07-09T08:51:38.460+0000] {logging_mixin.py:149} INFO - Element at index 16, column PCA2: -1.2003516372674223
[2023-07-09T08:51:38.461+0000] {logging_mixin.py:149} INFO - Element at index 17, column LocationAbbr: KS
[2023-07-09T08:51:38.462+0000] {logging_mixin.py:149} INFO - Element at index 17, column LocationDesc: Kansas
[2023-07-09T08:51:38.463+0000] {logging_mixin.py:149} INFO - Element at index 17, column DataSource: NVSS
[2023-07-09T08:51:38.463+0000] {logging_mixin.py:149} INFO - Element at index 17, column Topic: Asthma
[2023-07-09T08:51:38.464+0000] {logging_mixin.py:149} INFO - Element at index 17, column Question: Asthma mortality rate
[2023-07-09T08:51:38.465+0000] {logging_mixin.py:149} INFO - Element at index 17, column Response: 
[2023-07-09T08:51:38.466+0000] {logging_mixin.py:149} INFO - Element at index 17, column DataValueUnit: Number
[2023-07-09T08:51:38.466+0000] {logging_mixin.py:149} INFO - Element at index 17, column DataValueType: Number
[2023-07-09T08:51:38.467+0000] {logging_mixin.py:149} INFO - Element at index 17, column DataValue: 29.0
[2023-07-09T08:51:38.468+0000] {logging_mixin.py:149} INFO - Element at index 17, column DataValueAlt: 29.0
[2023-07-09T08:51:38.469+0000] {logging_mixin.py:149} INFO - Element at index 17, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.469+0000] {logging_mixin.py:149} INFO - Element at index 17, column DatavalueFootnote: 
[2023-07-09T08:51:38.470+0000] {logging_mixin.py:149} INFO - Element at index 17, column LowConfidenceLimit: 
[2023-07-09T08:51:38.471+0000] {logging_mixin.py:149} INFO - Element at index 17, column HighConfidenceLimit: 
[2023-07-09T08:51:38.472+0000] {logging_mixin.py:149} INFO - Element at index 17, column StratificationCategory1: Overall
[2023-07-09T08:51:38.473+0000] {logging_mixin.py:149} INFO - Element at index 17, column Stratification1: Overall
[2023-07-09T08:51:38.473+0000] {logging_mixin.py:149} INFO - Element at index 17, column StratificationCategory2: 
[2023-07-09T08:51:38.474+0000] {logging_mixin.py:149} INFO - Element at index 17, column Stratification2: 
[2023-07-09T08:51:38.475+0000] {logging_mixin.py:149} INFO - Element at index 17, column StratificationCategory3: 
[2023-07-09T08:51:38.476+0000] {logging_mixin.py:149} INFO - Element at index 17, column Stratification3: 
[2023-07-09T08:51:38.476+0000] {logging_mixin.py:149} INFO - Element at index 17, column ResponseID: 
[2023-07-09T08:51:38.477+0000] {logging_mixin.py:149} INFO - Element at index 17, column LocationID: 20
[2023-07-09T08:51:38.478+0000] {logging_mixin.py:149} INFO - Element at index 17, column TopicID: AST
[2023-07-09T08:51:38.479+0000] {logging_mixin.py:149} INFO - Element at index 17, column QuestionID: AST4_1
[2023-07-09T08:51:38.480+0000] {logging_mixin.py:149} INFO - Element at index 17, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.481+0000] {logging_mixin.py:149} INFO - Element at index 17, column StratificationCategoryID1: OVERALL
[2023-07-09T08:51:38.481+0000] {logging_mixin.py:149} INFO - Element at index 17, column StratificationID1: OVR
[2023-07-09T08:51:38.482+0000] {logging_mixin.py:149} INFO - Element at index 17, column StratificationCategoryID2: 
[2023-07-09T08:51:38.483+0000] {logging_mixin.py:149} INFO - Element at index 17, column StratificationID2: 
[2023-07-09T08:51:38.483+0000] {logging_mixin.py:149} INFO - Element at index 17, column StratificationCategoryID3: 
[2023-07-09T08:51:38.484+0000] {logging_mixin.py:149} INFO - Element at index 17, column StratificationID3: 
[2023-07-09T08:51:38.485+0000] {logging_mixin.py:149} INFO - Element at index 17, column Duration: 0
[2023-07-09T08:51:38.486+0000] {logging_mixin.py:149} INFO - Element at index 17, column Latitude: -98.20078122699965
[2023-07-09T08:51:38.487+0000] {logging_mixin.py:149} INFO - Element at index 17, column Longitude: 38.34774030000045
[2023-07-09T08:51:38.487+0000] {logging_mixin.py:149} INFO - Element at index 17, column PCA1: -4.552090332711679
[2023-07-09T08:51:38.488+0000] {logging_mixin.py:149} INFO - Element at index 17, column PCA2: -1.2003516372674223
[2023-07-09T08:51:38.490+0000] {logging_mixin.py:149} INFO - Element at index 18, column LocationAbbr: LA
[2023-07-09T08:51:38.490+0000] {logging_mixin.py:149} INFO - Element at index 18, column LocationDesc: Louisiana
[2023-07-09T08:51:38.491+0000] {logging_mixin.py:149} INFO - Element at index 18, column DataSource: NVSS
[2023-07-09T08:51:38.492+0000] {logging_mixin.py:149} INFO - Element at index 18, column Topic: Asthma
[2023-07-09T08:51:38.493+0000] {logging_mixin.py:149} INFO - Element at index 18, column Question: Asthma mortality rate
[2023-07-09T08:51:38.493+0000] {logging_mixin.py:149} INFO - Element at index 18, column Response: 
[2023-07-09T08:51:38.494+0000] {logging_mixin.py:149} INFO - Element at index 18, column DataValueUnit: 
[2023-07-09T08:51:38.495+0000] {logging_mixin.py:149} INFO - Element at index 18, column DataValueType: Number
[2023-07-09T08:51:38.498+0000] {logging_mixin.py:149} INFO - Element at index 18, column DataValue: 21.0
[2023-07-09T08:51:38.499+0000] {logging_mixin.py:149} INFO - Element at index 18, column DataValueAlt: 21.0
[2023-07-09T08:51:38.500+0000] {logging_mixin.py:149} INFO - Element at index 18, column DataValueFootnoteSymbol: 
[2023-07-09T08:51:38.501+0000] {logging_mixin.py:149} INFO - Element at index 18, column DatavalueFootnote: 
[2023-07-09T08:51:38.502+0000] {logging_mixin.py:149} INFO - Element at index 18, column LowConfidenceLimit: 
[2023-07-09T08:51:38.503+0000] {logging_mixin.py:149} INFO - Element at index 18, column HighConfidenceLimit: 
[2023-07-09T08:51:38.504+0000] {logging_mixin.py:149} INFO - Element at index 18, column StratificationCategory1: Gender
[2023-07-09T08:51:38.504+0000] {logging_mixin.py:149} INFO - Element at index 18, column Stratification1: Male
[2023-07-09T08:51:38.505+0000] {logging_mixin.py:149} INFO - Element at index 18, column StratificationCategory2: 
[2023-07-09T08:51:38.506+0000] {logging_mixin.py:149} INFO - Element at index 18, column Stratification2: 
[2023-07-09T08:51:38.507+0000] {logging_mixin.py:149} INFO - Element at index 18, column StratificationCategory3: 
[2023-07-09T08:51:38.508+0000] {logging_mixin.py:149} INFO - Element at index 18, column Stratification3: 
[2023-07-09T08:51:38.509+0000] {logging_mixin.py:149} INFO - Element at index 18, column ResponseID: 
[2023-07-09T08:51:38.510+0000] {logging_mixin.py:149} INFO - Element at index 18, column LocationID: 22
[2023-07-09T08:51:38.511+0000] {logging_mixin.py:149} INFO - Element at index 18, column TopicID: AST
[2023-07-09T08:51:38.512+0000] {logging_mixin.py:149} INFO - Element at index 18, column QuestionID: AST4_1
[2023-07-09T08:51:38.513+0000] {logging_mixin.py:149} INFO - Element at index 18, column DataValueTypeID: NMBR
[2023-07-09T08:51:38.515+0000] {logging_mixin.py:149} INFO - Element at index 18, column StratificationCategoryID1: GENDER
[2023-07-09T08:51:38.515+0000] {logging_mixin.py:149} INFO - Element at index 18, column StratificationID1: GENM
[2023-07-09T08:51:38.518+0000] {logging_mixin.py:149} INFO - Element at index 18, column StratificationCategoryID2: 
[2023-07-09T08:51:38.520+0000] {logging_mixin.py:149} INFO - Element at index 18, column StratificationID2: 
[2023-07-09T08:51:38.521+0000] {logging_mixin.py:149} INFO - Element at index 18, column StratificationCategoryID3: 
[2023-07-09T08:51:38.522+0000] {logging_mixin.py:149} INFO - Element at index 18, column StratificationID3: 
[2023-07-09T08:51:38.523+0000] {logging_mixin.py:149} INFO - Element at index 18, column Duration: 0
[2023-07-09T08:51:38.524+0000] {logging_mixin.py:149} INFO - Element at index 18, column Latitude: -92.44568007099969
[2023-07-09T08:51:38.525+0000] {logging_mixin.py:149} INFO - Element at index 18, column Longitude: 31.31266064400046
[2023-07-09T08:51:38.526+0000] {logging_mixin.py:149} INFO - Element at index 18, column PCA1: 3.583205888750275
[2023-07-09T08:51:38.527+0000] {logging_mixin.py:149} INFO - Element at index 18, column PCA2: -5.25380577801257
[2023-07-09T08:51:38.528+0000] {python.py:183} INFO - Done. Returned value was:    LocationAbbr          LocationDesc  ...       PCA1       PCA2
0            AR              Arkansas  ...   2.329192  -2.050249
1            CO              Colorado  ... -11.989688  -4.003571
2            DC  District of Columbia  ...  14.517821   7.995440
3            GA               Georgia  ...  10.997803  -0.242377
4            MI              Michigan  ...   5.155159  10.091829
6            OR                Oregon  ... -27.124871  -4.538535
9            WI             Wisconsin  ...   0.612669   7.753479
10           WI             Wisconsin  ...   0.612669   7.753479
11           AL               Alabama  ...   8.257815  -1.474515
12           ID                 Idaho  ... -21.480617  -2.968670
13           ID                 Idaho  ... -21.480617  -2.968670
14           IL              Illinois  ...   2.963120   4.525560
15           KS                Kansas  ...  -4.552090  -1.200352
16           KS                Kansas  ...  -4.552090  -1.200352
17           KS                Kansas  ...  -4.552090  -1.200352
18           LA             Louisiana  ...   3.583206  -5.253806

[16 rows x 36 columns]
[2023-07-09T08:51:38.701+0000] {taskinstance.py:1350} INFO - Marking task as SUCCESS. dag_id=etl_dag, task_id=apply_pca, execution_date=20230709T085125, start_date=20230709T085137, end_date=20230709T085138
[2023-07-09T08:51:38.765+0000] {local_task_job_runner.py:225} INFO - Task exited with return code 0
[2023-07-09T08:51:38.808+0000] {taskinstance.py:2653} INFO - 1 downstream tasks scheduled from follow-on schedule check
